"","site_type","allele_freq","dist_bin","mean_D","mean_r2","mean_D_prime","num_pairs","s_ben","s_del","rho_exp","mu_exp","theta","h_del","h_ben","model","num_sites"
"916","syn","common",250,0.00575399008475932,0.247520272083463,-0.0138850650939672,12506,0.1,0.001,6,6,0,0.5,0.5,1,10
"917","nonsyn","rare",250,0.000576203303272276,0.0433953042771545,-0.867402770110612,135502,0.1,0.001,6,6,0,0.5,0.5,1,10
"918","syn","rare",250,0.000748716568684276,0.0540343432713986,-0.744252556393278,48308,0.1,0.001,6,6,0,0.5,0.5,1,10
"919","nonsyn","int",300,0.00205473237186225,0.0916081637642962,-0.586556609621442,23783,0.1,0.001,6,6,0,0.5,0.5,1,10
"920","syn","int",300,0.00233394479308378,0.101879296578628,-0.387327077036355,22787,0.1,0.001,6,6,0,0.5,0.5,1,10
"921","nonsyn","common",300,0.0226721523291397,0.258581532868798,0.0227706386153866,2941,0.1,0.001,6,6,0,0.5,0.5,1,10
"922","syn","common",300,0.00553264408987301,0.212439514932251,-0.00690096462322522,12284,0.1,0.001,6,6,0,0.5,0.5,1,10
"923","nonsyn","rare",300,0.000532955789660581,0.0412377661086099,-0.868992100608774,135172,0.1,0.001,6,6,0,0.5,0.5,1,10
"924","syn","rare",300,0.000647374382207578,0.0493454797967545,-0.754420012628307,48560,0.1,0.001,6,6,0,0.5,0.5,1,10
"925","nonsyn","int",350,0.00173863322396823,0.0816129033608955,-0.588949723471018,23164,0.1,0.001,6,6,0,0.5,0.5,1,10
"926","syn","int",350,0.00204528185464322,0.0919875794788824,-0.390678573958837,22689,0.1,0.001,6,6,0,0.5,0.5,1,10
"927","nonsyn","common",350,0.0243104416295789,0.248131336570619,0.0419582231519438,2921,0.1,0.001,6,6,0,0.5,0.5,1,10
"928","syn","common",350,0.00586075349301397,0.186835368550471,-8.10173639715604e-05,12024,0.1,0.001,6,6,0,0.5,0.5,1,10
"929","nonsyn","rare",350,0.000498269641410794,0.0398828485487704,-0.871303596572404,135810,0.1,0.001,6,6,0,0.5,0.5,1,10
"930","syn","rare",350,0.000629398420433541,0.0476568349447422,-0.752742155782143,47608,0.1,0.001,6,6,0,0.5,0.5,1,10
"931","nonsyn","int",400,0.00167835051546392,0.0809540354662322,-0.578460817893364,23183,0.1,0.001,6,6,0,0.5,0.5,1,10
"932","syn","int",400,0.00191770315648086,0.0845874200599446,-0.384041747091805,22335,0.1,0.001,6,6,0,0.5,0.5,1,10
"933","nonsyn","common",400,0.0212748742032875,0.222540732687207,0.0284166853814886,2981,0.1,0.001,6,6,0,0.5,0.5,1,10
"934","syn","common",400,0.00505623578947368,0.165199940511644,-0.00350843974054693,11875,0.1,0.001,6,6,0,0.5,0.5,1,10
"935","nonsyn","rare",400,0.000456401837019945,0.0383232047862564,-0.873292014846402,135219,0.1,0.001,6,6,0,0.5,0.5,1,10
"936","syn","rare",400,0.000487098057276838,0.0418915131511786,-0.762942610058634,47768,0.1,0.001,6,6,0,0.5,0.5,1,10
"937","nonsyn","int",450,0.00141037812087959,0.0746429100534662,-0.579438764877288,23511,0.1,0.001,6,6,0,0.5,0.5,1,10
"938","syn","int",450,0.00157537825475018,0.0793199098152078,-0.384766175333904,22736,0.1,0.001,6,6,0,0.5,0.5,1,10
"939","nonsyn","common",450,0.0199221000354736,0.205729678349842,0.0274123071780875,2819,0.1,0.001,6,6,0,0.5,0.5,1,10
"940","syn","common",450,0.0043155034810664,0.151473622732636,-0.00312619589905251,11778,0.1,0.001,6,6,0,0.5,0.5,1,10
"941","nonsyn","rare",450,0.000428339741401066,0.0366407597858888,-0.87457782812845,134726,0.1,0.001,6,6,0,0.5,0.5,1,10
"942","syn","rare",450,0.000533696039583202,0.0407154148861226,-0.758423412605343,47697,0.1,0.001,6,6,0,0.5,0.5,1,10
"943","nonsyn","int",500,0.00119204106176445,0.0717513452925895,-0.582470660289019,23282,0.1,0.001,6,6,0,0.5,0.5,1,10
"944","syn","int",500,0.00140540649858433,0.0740831122591879,-0.375529437893262,22251,0.1,0.001,6,6,0,0.5,0.5,1,10
"945","nonsyn","common",500,0.016931895614353,0.19182611976884,0.00818592482390459,2759,0.1,0.001,6,6,0,0.5,0.5,1,10
"946","syn","common",500,0.00528857537319872,0.137644757299302,0.00180190703054417,11589,0.1,0.001,6,6,0,0.5,0.5,1,10
"947","nonsyn","rare",500,0.000397449598863199,0.0358785516122062,-0.875339551284971,135116,0.1,0.001,6,6,0,0.5,0.5,1,10
"948","syn","rare",500,0.000450558002936858,0.0387910858665997,-0.764661964997907,47670,0.1,0.001,6,6,0,0.5,0.5,1,10
"949","nonsyn","int",550,0.00123688105955679,0.0683673508645019,-0.571799388978568,23104,0.1,0.001,6,6,0,0.5,0.5,1,10
"950","syn","int",550,0.00124545940408854,0.0692343033329121,-0.380153993050363,22453,0.1,0.001,6,6,0,0.5,0.5,1,10
"951","nonsyn","common",550,0.0226406433759945,0.187378810997013,0.0422222780027202,2891,0.1,0.001,6,6,0,0.5,0.5,1,10
"952","syn","common",550,0.00464172544297265,0.126267054332961,-0.00237306179398586,11626,0.1,0.001,6,6,0,0.5,0.5,1,10
"953","nonsyn","rare",550,0.000376806219030947,0.0344394339255262,-0.876098818232124,134812,0.1,0.001,6,6,0,0.5,0.5,1,10
"954","syn","rare",550,0.000477723491628936,0.0380236956140997,-0.762664883410974,47485,0.1,0.001,6,6,0,0.5,0.5,1,10
