"","site_type","allele_freq","dist_bin","s_ben","theta","s_del","rho_exp","mu_exp","h_ben","h_del","end_freq","model","num_sites","mean_D","mean_r2","mean_D_prime","num_pairs"
"62","nonsyn","common",50,0.05,0.01,0.001,6,6.5,0.5,0.5,0.5,0,1,0.0895813186813187,0.623589947646184,0.335214577049673,728
"63","nonsyn","common",50,0.05,0.01,0.001,6,7,0.5,0.5,0.5,0,1,0.14080625,0.683032757680084,0.582056781045752,48
"64","nonsyn","common",50,0.05,0.01,0.001,6.5,6,0.5,0.5,0.5,0,1,0.0471706074995906,0.664064032808745,0.155136637150136,12214
"65","nonsyn","common",50,0.05,0.01,0.001,7,6,0.5,0.5,0.5,0,1,0.0512829480041521,0.71346007284857,0.188666894896628,10597
"66","nonsyn","common",50,0.05,0.01,0.005,6,5.5,0.5,0.5,0.5,0,1,0.0285853354134165,0.617419586172135,0.0821758524395513,9615
"67","nonsyn","common",50,0.05,0.01,0.005,6,6,0.5,0.5,0.5,0,1,0.0145709815078236,0.609553144748925,0.0132883227172123,2109
"68","nonsyn","common",50,0.05,0.01,0.005,6,6.5,0.5,0.5,0.5,0,1,0.00435301204819275,0.506626027056658,0.00246815366674988,83
"69","nonsyn","common",50,0.05,0.01,0.005,6,7,0.5,0.5,0.5,0,1,NA,NA,NA,1
"70","nonsyn","common",50,0.05,0.01,0.01,6,6.5,0.5,0.5,0.5,0,1,0.00779230769230768,0.588189070108294,0.0168376166247858,65
"71","nonsyn","common",50,0.05,0.01,0.01,6,7,0.5,0.5,0.5,0,1,NA,NA,NA,0
"72","nonsyn","common",50,0.05,1,0.001,6,6,0.5,0.5,0.5,0,1,0.0269541969075418,0.51636553187962,0.0107254136302179,12676
"73","nonsyn","common",50,0.05,1,0.001,6,6,0.5,0.5,0.75,0,1,0.0335502460594822,0.545799485615568,0.0381438451385202,14021
"74","nonsyn","common",50,0.05,1,0.001,6,6,0.5,0.5,1,0,1,0.0223774089193561,0.569267460278324,-0.0168490493847922,12983
"75","nonsyn","common",50,0.05,5,0.001,6,6,0.5,0.5,0.5,0,1,0.0112511834319526,0.495354163342226,-0.0625137105813943,10140
"76","nonsyn","common",50,0.05,5,0.001,6,6,0.5,0.5,0.75,0,1,0.0159896269633508,0.495368631691393,-0.0626460405623497,6112
"77","nonsyn","common",50,0.05,5,0.001,6,6,0.5,0.5,1,0,1,0.00305323485415108,0.50530975517678,-0.121220108209702,5348
"78","nonsyn","common",50,0.1,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.055304844423169,0.603185474115496,0.171742837867645,10445
"79","nonsyn","common",50,0.2,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0753303983075577,0.655497724854972,0.279312115020455,13708
"80","nonsyn","common",50,0.5,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0845748521183054,0.690734968667151,0.32988342676748,12510
"81","nonsyn","common",100,0,0.01,0.001,6,6,0.5,0.5,0.5,0,1,-0.00230176991150443,0.413048237226699,-0.166557293429143,791
"82","nonsyn","common",100,0.01,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0142427030596522,0.439071557822544,-0.0499319415448449,22715
"83","nonsyn","common",100,0.05,0.01,0,6,5,0.5,0.5,0.5,0,1,0.00264830101231133,0.385732002031743,0.000807625768465536,673607
"84","nonsyn","common",100,0.05,0.01,0,6,6.5,0.5,0.5,0.5,0,1,0.0087316489109338,0.483825980403527,0.0110334289002509,695550
"85","nonsyn","common",100,0.05,0.01,0,6,7,0.5,0.5,0.5,0,1,0.00806425956691916,0.485265890491152,0.0055690896312048,71026
"86","nonsyn","common",100,0.05,0.01,1e-04,6,5,0.5,0.5,0.5,0,1,0.00790239907273171,0.423046301950611,0.00507750364616134,1111221
"87","nonsyn","common",100,0.05,0.01,1e-04,6,6,0.5,0.5,0.5,0,1,0.0116460252861684,0.475754329556581,0.0032003028843718,748947
"88","nonsyn","common",100,0.05,0.01,1e-04,6,6.5,0.5,0.5,0.5,0,1,0.0109727488823934,0.47773673234908,-0.00780470401239894,232640
"89","nonsyn","common",100,0.05,0.01,1e-04,6,7,0.5,0.5,0.5,0,1,0.0113158203991131,0.478219785319747,-0.00773093718566566,27060
"90","nonsyn","common",100,0.05,0.01,5e-04,6,5.5,0.5,0.5,0.5,0,1,0.0201247371026792,0.517150964428438,0.0331622404530888,470621
"91","nonsyn","common",100,0.05,0.01,5e-04,6,6,0.5,0.5,0.5,0,1,0.0270081924469162,0.498978318288766,0.0385780465046361,144206
"92","nonsyn","common",100,0.05,0.01,5e-04,6,6.5,0.5,0.5,0.5,0,1,0.0497664825197889,0.504116316895915,0.104159614946178,12128
"93","nonsyn","common",100,0.05,0.01,5e-04,6,7,0.5,0.5,0.5,0,1,0.0669437639198218,0.538026396328484,0.147669736139172,898
"94","nonsyn","common",100,0.05,0.01,0.001,5,6,0.5,0.5,0.5,0,1,0.00756127534309051,0.121608699047037,0.00746883489096994,24119
"95","nonsyn","common",100,0.05,0.01,0.001,6,6,0,0,0.5,0,1,0.00327597764551211,0.229974728649863,-0.103128956464306,894496
"96","nonsyn","common",100,0.05,0.01,0.001,6,6,0.25,0.25,0.5,0,1,0.0246478010348072,0.461836219836098,-0.00118458777018364,17008
"97","nonsyn","common",100,0.05,0.01,0.001,6,6,0.5,0.5,0.5,0,1,0.0487105258536849,0.525043562541908,0.141893870341247,148064
"98","nonsyn","common",100,0.05,0.01,0.001,6,6,0.5,0.5,0.75,0,1,0.0602120113650556,0.576433821153626,0.208517227312863,32028
"99","nonsyn","common",100,0.05,0.01,0.001,6,6,0.5,0.5,1,0,1,-0.0015104576436222,0.409477650433549,-0.129343437431936,5135
"100","nonsyn","common",100,0.05,0.01,0.001,6,6,0.75,0.75,0.5,0,1,0.0633154294032023,0.57562028197727,0.236329634636304,2061
"101","nonsyn","common",100,0.05,0.01,0.001,6,6,1,1,0.5,0,1,0.0748825517241379,0.600696115330038,0.283253826429585,1450
"102","nonsyn","common",100,0.05,0.01,0.001,6,6.5,0.5,0.5,0.5,0,1,0.0824925339366516,0.570268889873068,0.310166504661094,2210
"103","nonsyn","common",100,0.05,0.01,0.001,6,7,0.5,0.5,0.5,0,1,0.104822222222222,0.651099321841146,0.380312670858126,153
"104","nonsyn","common",100,0.05,0.01,0.001,6.5,6,0.5,0.5,0.5,0,1,0.0488135434010089,0.648748234615729,0.159399463383628,40241
"105","nonsyn","common",100,0.05,0.01,0.001,7,6,0.5,0.5,0.5,0,1,0.0505847243458443,0.712299784290203,0.18468616099714,34663
"106","nonsyn","common",100,0.05,0.01,0.005,6,5.5,0.5,0.5,0.5,0,1,0.0271891306425408,0.578097928209519,0.0731609181655865,31391
"107","nonsyn","common",100,0.05,0.01,0.005,6,6,0.5,0.5,0.5,0,1,0.0198882504548211,0.536084523664568,0.0535315043011246,6596
"108","nonsyn","common",100,0.05,0.01,0.005,6,6.5,0.5,0.5,0.5,0,1,0.0322501672240803,0.479544734815699,0.123478212156402,299
"109","nonsyn","common",100,0.05,0.01,0.005,6,7,0.5,0.5,0.5,0,1,0.09972,0.534846510549601,0.439323249849566,10
"110","nonsyn","common",100,0.05,0.01,0.01,6,6.5,0.5,0.5,0.5,0,1,0.0244476744186046,0.485116283315602,0.105731215416878,172
"111","nonsyn","common",100,0.05,0.01,0.01,6,7,0.5,0.5,0.5,0,1,-0.044525,0.538342970815727,-0.5,4
"112","nonsyn","common",100,0.05,1,0.001,6,6,0.5,0.5,0.5,0,1,0.0306532777521208,0.473701385385538,0.0379341443930556,41141
"113","nonsyn","common",100,0.05,1,0.001,6,6,0.5,0.5,0.75,0,1,0.0366699313134905,0.516369005390314,0.0602000421104462,44987
"114","nonsyn","common",100,0.05,1,0.001,6,6,0.5,0.5,1,0,1,0.0251985374988148,0.530866970520629,0.000760686388917076,42188
"115","nonsyn","common",100,0.05,5,0.001,6,6,0.5,0.5,0.5,0,1,0.0122965968906843,0.428784864396291,-0.0644933194510277,32676
"116","nonsyn","common",100,0.05,5,0.001,6,6,0.5,0.5,0.75,0,1,0.0189940973104886,0.44828392128846,-0.0392871226181641,19669
