"","dist_bin","s_focal","s_del","delta_r2","demography"
"231",4000,0.05,0.001,0.0343346973378986,"none"
"232",4500,0.05,0.001,0.0277089287373158,"none"
"233",5000,0.05,0.001,0.0227300864729032,"none"
"234",7500,0.05,0.001,0.0146612306542675,"none"
"235",10000,0.05,0.001,0.0068337219874885,"none"
"236",10,0.1,0.001,-0.098656662538379,"none"
"237",15,0.1,0.001,-0.0837454176034711,"none"
"238",20,0.1,0.001,-0.068760581423365,"none"
"239",25,0.1,0.001,-0.06160511332415,"none"
"240",50,0.1,0.001,-0.0266980045484919,"none"
"241",75,0.1,0.001,0.00883932064205495,"none"
"242",100,0.1,0.001,0.041613931146166,"none"
"243",125,0.1,0.001,0.054294566864813,"none"
"244",150,0.1,0.001,0.072692154383093,"none"
"245",175,0.1,0.001,0.086175190554,"none"
"246",200,0.1,0.001,0.096281038353307,"none"
"247",250,0.1,0.001,0.111529409634111,"none"
"248",300,0.1,0.001,0.121928965288805,"none"
"249",350,0.1,0.001,0.131757467416309,"none"
"250",400,0.1,0.001,0.131062024874903,"none"
"251",450,0.1,0.001,0.137444732523331,"none"
"252",500,0.1,0.001,0.141715328251447,"none"
"253",550,0.1,0.001,0.142461222613688,"none"
"254",600,0.1,0.001,0.140177144455896,"none"
"255",650,0.1,0.001,0.14002624556977,"none"
"256",700,0.1,0.001,0.142102349792393,"none"
"257",750,0.1,0.001,0.14322480942228,"none"
"258",800,0.1,0.001,0.141794251177367,"none"
"259",850,0.1,0.001,0.142766352078071,"none"
"260",900,0.1,0.001,0.142309207390316,"none"
"261",950,0.1,0.001,0.141864896857432,"none"
"262",1000,0.1,0.001,0.13835219513079,"none"
"263",1050,0.1,0.001,0.138953355967052,"none"
"264",1100,0.1,0.001,0.13623678896264,"none"
"265",1150,0.1,0.001,0.137029965989191,"none"
"266",1200,0.1,0.001,0.13599286748034,"none"
"267",1300,0.1,0.001,0.13167089588564,"none"
"268",1400,0.1,0.001,0.128008430396645,"none"
"269",1500,0.1,0.001,0.124435185919519,"none"
"270",1600,0.1,0.001,0.122097543413916,"none"
"271",1700,0.1,0.001,0.121515748179035,"none"
"272",1800,0.1,0.001,0.117438636819058,"none"
"273",1900,0.1,0.001,0.114425098950164,"none"
"274",2000,0.1,0.001,0.111023716965144,"none"
"275",2500,0.1,0.001,0.103030390093043,"none"
"276",3000,0.1,0.001,0.091439387893307,"none"
"277",3500,0.1,0.001,0.081197212017303,"none"
"278",4000,0.1,0.001,0.070959472377273,"none"
"279",4500,0.1,0.001,0.062317266903413,"none"
"280",5000,0.1,0.001,0.0552421475836269,"none"
"281",7500,0.1,0.001,0.0410891127601602,"none"
"282",10000,0.1,0.001,0.0258449245818624,"none"
